# Pseudonymisierung prod_mirror — Zuordnung JEDER Text-/JSON-Spalte (+ Personenbezug in Datum/Zahl).
# regel: bleibt | null | scrub (JSON: Struktur bleibt, Werte ersetzt) | =<SQL-Ausdruck>
# Das Skript bricht ab, wenn die Quell-DB eine Text-/JSON-Spalte hat, die hier fehlt.
tabelle	spalte	regel	begruendung
customer_contracts	contract_start	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
customer_documents	document_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
customer_documents	review_due_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
customer_insurance_history	valid_from	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
customer_insurance_history	valid_to	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
customer_needs_assessments	assessment_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
employee_documents	document_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
employee_documents	review_due_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
employee_hours_accounts	anfangsbestand	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
employee_hours_accounts	bezahlt	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
employee_time_entries	entry_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
employee_time_entries	kilometers	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
employee_vacation_allowance	total_days	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
invoice_line_items	appointment_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
invoice_line_items	quantity_raw	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
invoices	assignment_declaration_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
invoices	due_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
prices	valid_from	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
prices	valid_to	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
prospects	wiedervorlage_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
role_wage_rates	valid_from	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
role_wage_rates	valid_to	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
tasks	due_date	bleibt	Fach-Datum (Leistung, Gültigkeit, Frist), kein Personenbezug
users	austritts_datum	bleibt	Beschäftigungszeitraum; für Lohn-/Stunden-Messungen, Person pseudonymisiert
users	eintrittsdatum	bleibt	Beschäftigungszeitraum; für Lohn-/Stunden-Messungen, Person pseudonymisiert
users	monthly_work_hours	bleibt	Menge (km, Stunden, Tage), kein Personenbezug
